customerID,balance,upiID
1,45788.42,gsamsonsen0@de
2,33454.14,sussher
3,47433.9,bchilcotte2@di
4,25826.01,bwhittles
5,35918.72,mavramow4@
6,47722.27,hduggon5@
7,33158.02,mfrise6@scienc
8,11692.47,ptregaskis7@
9,16453.46,pmccarter8
10,49645.87,ebourthoumieux9@blogta
11,37898.03,atraylinga@
12,28894.67,girwinb@mo
13,45160.58,collandc
14,16050.01,skaserd@s
15,49001.0,cecclestonee
16,49017.17,pbow
17,48516.47,cthornewellg@pa
18,33183.33,rbeinischh@business
19,22101.26,cinglesi
20,43780.93,abanasevichj
21,29178.01,ncroucherk@si
22,20855.38,tgoro
23,47299.76,soconno
24,11462.79,eklesln@yell
25,24049.51,wfinl
26,47091.16,jstandbro
27,11446.99,dkellegherq
28,13070.46,sskirlinr
29,49801.63,wnathons@wo
30,22495.43,dtrayfordt@wo
31,18556.31,raguirr
32,11692.35,tselwoodv@stum
33,41965.15,ctousyw@
34,13594.56,abruni
35,41448.97,rbor
36,22621.55,jlattosz@may
37,32246.04,fcarlo
38,32266.53,gwerny11@alt
39,41857.2,nsafe
40,32865.88,tpudney13@tut
41,21442.11,gupex14@shu
42,32767.87,njanik15@e
43,28551.46,aferrulli16@fri
44,33411.32,izellne
45,27542.15,cemsle
46,47082.54,maitkenhead19
47,36667.72,retchells
48,19115.85,asparkes1b@wo
49,34400.84,lmontacute1
50,38181.59,krheubottom1d@ezinea
51,30226.05,harnott1e@creative
52,16391.69,pmarkson1
53,48180.79,charget1g@nyda
54,40297.8,mlocki
55,26102.91,hpaolacci1i@
56,31211.47,nnarrie1j@inde
57,21044.58,ddory1k@
58,23259.52,dcreavan1l@
59,13934.53,prising1m@surve
60,18341.18,gdonalson1n@h
61,29612.33,cshanley1o@b
62,32484.86,odillinton1p@m
63,25838.06,gstubbs1q@huge
64,17329.68,ltytcomb1r@m
65,48082.04,ncleen1s@fast
66,44013.29,rtrosdall
67,10692.98,dgrayha
68,28347.67,rbolwel
69,46450.69,mrewcastle1w@bra
70,30186.73,gbyass1x@fee
71,13774.23,hrawstorne
72,13990.6,gannell1z@stat
73,13046.53,fellcoc
74,37400.63,naudsley2
75,12029.84,gstlouis22@shu
76,33164.78,jbaa
77,26346.24,pregina
78,46518.76,nmatissoff
79,20689.88,sdrust26@bl
80,42278.26,cpeskin27
81,42854.94,cclemmett28
82,24813.32,jdudman29
83,17200.29,rwestna
84,45002.03,scater2b
85,25403.04,rtopp2c@
86,32668.83,ebeddard2d
87,13423.05,dbrunnen2e
88,36703.55,gdayton2f@
89,40128.93,jcirlos2g
90,31883.72,gharget
91,13624.38,mbagnold2i@
92,28036.85,gboulden2j
93,25696.93,cquer
94,30775.76,cmcgeady2l
95,41111.84,abaytrop2m@n
96,31603.98,vbrisseau2n@
97,20825.41,lwillimott2o@r
98,47551.05,acloake
99,49546.91,agioan2q@dail
100,17148.04,gdineges2r@wunde
101,19948.18,apywell2s@m
102,40080.06,boriorda
103,35350.89,rmacgiany2u@h
104,14373.0,alupton2
105,47888.63,pkenefick2w@po
106,16235.66,kmatonin2x@fri
107,40455.25,eartist2y@acquiret
108,47158.43,yshreenan2z@printf
109,12598.34,cteague30@
110,13257.27,ggudahy31
111,27540.34,gcorter32@
112,35139.2,cknottley33@
113,16874.3,cminchell3
114,36791.13,hgras35@ope
115,34032.35,cmallard36@e
116,47218.2,tkardosstowe37@surve
117,31260.06,rdyet38@me
118,19639.02,bmcgerraght
119,39555.8,mstonhard3a@b
120,24543.49,bmcvicar
121,32409.87,cduplan3c@xi
122,42823.86,jmccowen3d
123,33274.49,lhaverty3
124,30700.56,lputt3
125,46544.38,tkegl
126,12988.13,tmadill3h@huffing
127,37721.31,ggallaher3
128,38788.81,jsimms3j@b
129,40119.42,ocraney3k@an
130,22426.76,btitchen3l@
131,40197.75,cmckinstry3
132,15781.18,rkillford3
133,18474.75,cmacgillavery3o@dail
134,16781.49,cranklin3p
135,23874.69,cwaryk3q@s
136,34659.23,njozefowicz3r@t
137,42005.94,gsanpher3
138,31006.48,aquartermain3
139,40660.74,knaptin
140,34593.15,rmor
141,33343.98,arawliso
142,32540.76,krea
143,14173.68,mpuncher3
144,43130.37,rchrichton3z
145,49346.39,ibenwell40@arst
146,20752.85,ksall
147,12625.65,scesco42@dail
148,47178.64,bphipson43@l
149,12955.93,dtive
150,12182.1,rarghent45
151,43622.02,eearingey
152,36384.22,mweldric
153,35116.12,lstrowthers48@yel
